"Assembly"	"X..contigs.....0.bp."	"X..contigs.....1000.bp."	"X..contigs.....5000.bp."	"X..contigs.....10000.bp."	"X..contigs.....25000.bp."	"X..contigs.....50000.bp."	"Total.length.....0.bp."	"Total.length.....1000.bp."	"Total.length.....5000.bp."	"Total.length.....10000.bp."	"Total.length.....25000.bp."	"Total.length.....50000.bp."	"X..contigs"	"Largest.contig"	"Total.length"	"Reference.length"	"N50"	"N75"	"L50"	"L75"	"X..misassemblies"	"X..misassembled.contigs"	"Misassembled.contigs.length"	"X..local.misassemblies"	"X..scaffold.gap.size.misassemblies"	"X..unaligned.contigs"	"Unaligned.length"	"Genome.fraction...."	"Duplication.ratio"	"X..N.s.per.100.kbp"	"X..mismatches.per.100.kbp"	"X..indels.per.100.kbp"	"X..predicted.genes..unique."	"X..predicted.genes.....0.bp."	"X..predicted.genes.....300.bp."	"X..predicted.genes.....1500.bp."	"X..predicted.genes.....3000.bp."	"Largest.alignment"	"NA50"	"NA75"	"LA50"	"LA75"	"X..genes"	"assemblerGroup"
"fervent_blackwell_0"	548604	28955	7423	4427	2186	1127	443979393	312835368	271263647	250549664	215106125	177918379	75110	2128798	343743329	569225054	55014	7821	1012	5253	558	470	38984597	1412	"3"	"71 + 107 part"	71732	59.792	1.01	610.04	8.65	1.86	372694	373480	311923	36861	3824	1661626	49922	7186	1149	5754	NA	"4"
"goofy_tesla_1"	433601	94949	14945	6854	2886	1407	658282229	520568547	384404233	329968270	269852752	218469378	183077	4079020	581695936	569225054	18073	2041	3879	33119	128	49	3419634	28	"0"	"182203 + 607 part"	576054617	0.949	1.044	9470.8	181.42	9.16	621556	621568	497770	47007	4630	198351	NA	NA	NA	NA	NA	"7"
"backstabbing_carson_1"	44327	9643	3277	1888	1220	736	185092217	169593792	154637798	145479006	134619228	117402928	20045	1506614	176515241	569225054	112538	27792	346	1136	950	612	65399088	1535	"2073"	"0 + 46 part"	2488	28.488	1.089	2841.64	49.86	1.28	169845	176826	151916	20421	1925	804366	75090	17012	497	1717	NA	"2"
"adoring_almeida_4"	547505	6119	3359	2024	1051	607	296314449	171690267	167096040	158625916	143661479	128065887	32225	1495269	188427354	569225054	172512	27782	230	963	1372	465	48834524	6908	"2841"	"10 + 1818 part"	10950080	29.28	1.065	11035.98	79.19	11.69	193886	193915	158927	16895	1500	1355912	86784	2793	348	2929	NA	"1"
"angry_newton_1"	75671	12894	3072	2176	1266	727	206922833	178853779	161472186	155074891	140317472	121319436	33089	1521953	192713672	569225054	103545	20659	378	1454	764	537	43807154	226	"0"	"0 + 47 part"	4013	32.259	1.049	5.45	20.62	0.55	195888	203894	173099	22092	2166	896122	93305	19055	436	1617	NA	"3"
"fervent_mayer_2"	486783	43057	9769	5057	1683	515	372809591	233943862	166101802	133396716	81329999	41466919	98804	326590	271758642	569225054	9512	2095	5312	21639	300	288	2976045	75	"0"	"7 + 64 part"	8897	47.443	1.006	0	8.17	0.11	322679	322839	260413	25520	2509	326590	9465	2087	5349	21739	NA	"4"
"jolly_bartik_0"	318081	28337	4929	2930	1467	861	357183003	256759539	212214527	198169668	175340643	153874005	80143	1525443	291821394	569225054	62261	3812	719	6462	1062	713	66595003	348	"0"	"3 + 94 part"	8880	46.335	1.106	0	22.78	0.6	308316	329506	273033	30314	2905	1389160	55427	3690	844	6945	NA	"9"
"dreamy_yonath_1"	1322243	1649	0	0	0	0	171159815	2092489	0	0	0	0	15744	3322	11257907	569225054	693	576	5995	10475	7	7	5262	1	"0"	"14 + 314 part"	18768	1.97	1.002	0	452.01	0.85	21869	21869	14936	28	0	3322	692	575	6001	10488	NA	"5"
"fervent_mayer_1"	478197	34971	4763	2208	1140	709	375033641	236477278	177528852	160668546	144400810	129078517	90389	2203468	274042613	569225054	36097	2229	897	13410	418	353	30322581	1426	"5"	"7 + 59 part"	8641	47.457	1.014	893.89	8.37	2.81	320491	320641	259243	25684	2554	2197841	29806	2075	1072	14750	NA	"4"
"jolly_mcclintock_1"	4921565	45281	5610	2573	651	127	710192833	146733114	75202012	54247525	25045118	7512149	127228	65529	202626785	569225054	2338	927	13588	50725	104	103	540525	24	"0"	"1 + 44 part"	3108	35.309	1.008	0	13.44	0.06	280998	281041	215585	13796	1064	65529	2337	927	13603	50761	NA	"8"
