"Assembly"	"X..contigs.....1000.bp."	"X..contigs.....5000.bp."	"X..contigs.....10000.bp."	"X..contigs.....25000.bp."	"X..contigs.....50000.bp."	"Total.length.....1000.bp."	"Total.length.....5000.bp."	"Total.length.....10000.bp."	"Total.length.....25000.bp."	"Total.length.....50000.bp."	"X..contigs"	"Largest.contig"	"Total.length"	"Reference.length"	"GC...."	"Reference.GC...."	"N50"	"NG50"	"N75"	"NG75"	"L50"	"LG50"	"L75"	"LG75"	"X..misassemblies"	"X..misassembled.contigs"	"Misassembled.contigs.length"	"X..local.misassemblies"	"X..unaligned.contigs"	"Unaligned.length"	"Genome.fraction...."	"Duplication.ratio"	"X..N.s.per.100.kbp"	"X..mismatches.per.100.kbp"	"X..indels.per.100.kbp"	"X..predicted.genes..unique."	"X..predicted.genes.....0.bp."	"X..predicted.genes.....300.bp."	"X..predicted.genes.....1500.bp."	"X..predicted.genes.....3000.bp."	"Largest.alignment"	"NA50"	"NGA50"	"NA75"	"NGA75"	"LA50"	"LGA50"	"LA75"	"LGA75"	"gid"	"label"	"refLength"	"refMapping"	"abundance"	"gc"	"group"	"refGenes"	"assemblerGroup"	"normalized.misassemblies.per.MB"	"normalized.mismatches.per.100.kbp"	"cov"	"genomeFractionNormalized"
"Gold_Standard_3"	109	87	76	59	33	4530266	4470889	4399076	4109251	3203178	109	226258	4530266	4542383	45.71	45.71	84082	"84082"	43488	"43488"	19	"19"	38	"38"	0	0	0	0	"0 + 0 part"	0	99.733	1	0	0	0	3958	3962	3503	629	73	226258	84082	84082	43488	"43488"	19	"19"	38	"38"	"1010920"	NA	4542383	208728	36.637	NA	"uniq"	3968	"1"	0	0	6.8926816607054	0.00912538650366973
"Gold_Standard_3"	35	29	27	24	22	5955783	5948268	5936925	5890332	5818659	37	1236192	5956977	5493351	71.38	71.38	399567	"453538"	192786	"195811"	4	"3"	10	"8"	0	0	0	0	"0 + 0 part"	0	99.866	1.086	0.76	0	0	5185	5622	5145	779	83	1236192	399567	453538	192786	"195811"	4	"3"	10	"8"	"1021_AC"	NA	5493351	630034	91.7191	NA	"strain"	5208	"1"	0	0	17.2035429740426	0.0269546431243243
"Gold_Standard_3"	58	49	48	43	31	6393792	6372583	6364841	6276675	5787822	66	458027	6399293	7722671	61.13	61.1	206577	"178251"	127949	"47172"	11	"14"	21	"32"	0	0	0	0	"0 + 0 part"	0	82.864	1	3.75	0	0	6273	6273	5405	711	67	458027	206577	178251	127949	"47172"	11	"14"	21	"32"	"1021_AE"	NA	7722671	687876	70.7827	NA	"strain"	7396	"1"	0	0	13.3608436770128	0.0104037007515152
"Gold_Standard_3"	4	4	3	3	3	3924586	3924586	3919122	3919122	3919122	4	2550429	3924586	3924651	68.98	68.98	2550429	"2550429"	1122073	"1122073"	1	"1"	2	"2"	0	0	0	0	"0 + 0 part"	0	99.998	1	0.13	0	0	3920	3920	3605	480	38	2550429	2550429	2550429	1122073	"1122073"	1	"1"	2	"2"	"1021_AG"	NA	3924651	288479	57.7953	NA	"uniq"	3926	"1"	0	0	11.0256555296254	0.2499900001
"Gold_Standard_3"	70	49	41	27	18	5750826	5703370	5649185	5421613	5067022	78	1144458	5757033	5763634	37.48	37.48	399829	"399829"	157252	"157252"	4	"4"	10	"10"	0	0	0	0	"0 + 0 part"	0	99.885	1	2.67	0	0.02	5911	5911	4940	516	40	1144458	399829	399829	157252	"157252"	4	"4"	10	"10"	"1021_AH"	NA	5763634	1370375	188.226	NA	"uniq"	5993	"1"	0	0	35.6643482219725	0.0127910425961538
"Gold_Standard_3"	45	42	42	39	36	5658655	5654111	5654111	5610339	5497154	53	638785	5664290	5153811	71.48	71.44	232151	"277735"	90263	"93722"	8	"7"	20	"16"	0	0	0	0	"0 + 0 part"	0	99.81	1.101	0.88	0	0	4819	5290	4888	738	83	638785	232151	277735	90263	"93722"	8	"7"	20	"16"	"1021_AI"	NA	5153811	223822	34.1514	NA	"strain"	4851	"1"	0	0	6.51426682119309	0.0187962945283019
"Gold_Standard_3"	65	55	54	48	40	7276322	7258247	7252715	7151219	6833857	88	633338	7292497	7738301	61.13	61.1	198616	"178142"	107623	"100777"	11	"12"	24	"27"	0	0	0	0	"0 + 0 part"	0	90.022	1.047	2.98	0	0	6812	7101	6157	823	70	633338	198616	178142	107623	"100777"	11	"12"	24	"27"	"1021_AN"	NA	7738301	719362	73.5825	NA	"strain"	7417	"1"	0	0	13.9441849057048	0.00920904600454546
"Gold_Standard_3"	33	22	17	13	12	4678810	4660604	4626882	4550547	4524612	33	1357757	4678810	4573692	61.11	61.13	1311580	"1311580"	385324	"385324"	2	"2"	4	"4"	0	0	0	0	"0 + 0 part"	0	99.956	1.023	0.83	0	0	4459	4549	4011	581	57	1357757	1311580	1311580	385324	"385324"	2	"2"	4	"4"	"1021_AR"	NA	4573692	406607	70.3945	NA	"strain"	4417	"1"	0	0	13.3351896017484	0.0302763695030303
"Gold_Standard_3"	70	56	54	48	35	7148655	7125803	7114409	7010019	6546025	83	1205071	7157034	7189794	62.35	62.33	199349	"196335"	117425	"117425"	9	"10"	21	"21"	0	0	0	0	"0 + 0 part"	0	99.544	1	1.93	0	0	6948	6948	6147	822	65	1205069	199349	196335	117425	"117425"	9	"10"	21	"21"	"1021_AZ"	NA	7189794	781982	85.7012	NA	"strain"	6819	"1"	0	0	16.3144173532649	0.0119385637783133
"Gold_Standard_3"	35	32	27	24	19	2909278	2905445	2868074	2819826	2605828	41	268386	2914689	2916382	71.83	71.82	179482	"179482"	94109	"94109"	7	"7"	13	"13"	0	0	0	0	"0 + 0 part"	0	99.942	1	0.89	0	0	2770	2772	2538	369	36	268386	179482	179482	94109	"94109"	7	"7"	13	"13"	"1021_A"	NA	2916382	235650	63.6574	NA	"uniq"	2759	"1"	0	0	12.120325800941	0.0243619594243902
"Gold_Standard_3"	48	35	30	29	23	4425427	4391846	4356784	4340238	4074413	53	455987	4429287	4430399	68.28	68.26	295857	"295857"	97875	"97875"	7	"7"	13	"13"	0	0	0	0	"0 + 0 part"	0	99.758	1.002	2.01	0	0	4000	4005	3605	603	87	455987	295857	295857	97875	"97875"	7	"7"	13	"13"	"1021_BA"	NA	4430399	228162	40.959	NA	"strain"	3877	"1"	0	0	7.72487985845067	0.0187767142716981
"Gold_Standard_3"	67	54	48	37	28	6198625	6173387	6135000	5941643	5608522	82	577401	6208037	6221557	58.99	58.98	227012	"227012"	117050	"117050"	9	"9"	17	"17"	0	0	0	0	"0 + 0 part"	0	99.783	1	2.22	0	0	5598	5598	5071	795	91	577401	227012	227012	117050	"117050"	9	"9"	17	"17"	"1021_BD"	NA	6221557	408836	52.0785	NA	"uniq"	5583	"1"	0	0	9.85692166767901	0.012142252547561
"Gold_Standard_3"	123	105	97	63	44	5175957	5123966	5063631	4481936	3798115	129	233634	5180971	5192755	58.29	58.27	71285	"71285"	46506	"42470"	25	"25"	46	"47"	0	0	0	0	"0 + 0 part"	0	99.773	1	0.14	0	0	4927	4927	4390	628	58	233634	71285	71285	46506	"42470"	25	"25"	46	"47"	"1021_BE"	NA	5192755	141034	21.2613	NA	"strain"	4845	"1"	0	0	4.07396459105042	0.00771678413100775
"Gold_Standard_3"	33	24	24	21	21	6059978	6044428	6044428	5979878	5979878	38	858278	6063308	6073982	65.61	65.59	510859	"510859"	193590	"193590"	5	"5"	11	"11"	0	0	0	0	"0 + 0 part"	0	99.799	1	2.99	0	0	5494	5494	5114	777	72	858278	510859	510859	193590	"193590"	5	"5"	11	"11"	"1021_BF"	NA	6073982	543659	69.9199	NA	"uniq"	5478	"1"	0	0	13.4259288223113	0.0262101063184211
"Gold_Standard_3"	6	4	4	4	4	3614533	3611835	3611835	3611835	3611835	7	2520944	3615338	3621788	68.23	68.19	2520944	"2520944"	785563	"785563"	1	"1"	2	"2"	0	0	0	0	"0 + 0 part"	0	99.822	1	0.47	0	0	3394	3394	3126	451	48	2520944	2520944	2520944	785563	"785563"	1	"1"	2	"2"	"1021_B"	NA	3621788	426368	94.1525	NA	"strain"	3378	"1"	0	0	17.6584604068488	0.142349024057143
