"Assembly"	"X..contigs.....1000.bp."	"X..contigs.....5000.bp."	"X..contigs.....10000.bp."	"X..contigs.....25000.bp."	"X..contigs.....50000.bp."	"Total.length.....1000.bp."	"Total.length.....5000.bp."	"Total.length.....10000.bp."	"Total.length.....25000.bp."	"Total.length.....50000.bp."	"X..contigs"	"Largest.contig"	"Total.length"	"Reference.length"	"GC...."	"Reference.GC...."	"N50"	"NG50"	"N75"	"NG75"	"L50"	"LG50"	"L75"	"LG75"	"X..misassemblies"	"X..misassembled.contigs"	"Misassembled.contigs.length"	"X..local.misassemblies"	"X..unaligned.contigs"	"Unaligned.length"	"Genome.fraction...."	"Duplication.ratio"	"X..N.s.per.100.kbp"	"X..mismatches.per.100.kbp"	"X..indels.per.100.kbp"	"X..genes"	"X..predicted.genes..unique."	"X..predicted.genes.....0.bp."	"X..predicted.genes.....300.bp."	"X..predicted.genes.....1500.bp."	"X..predicted.genes.....3000.bp."	"Largest.alignment"	"NA50"	"NGA50"	"NA75"	"NGA75"	"LA50"	"LGA50"	"LA75"	"LGA75"	"gid"	"label"	"refLength"	"refMapping"	"abundance"	"gc"	"group"	"refGenes"	"assemblerGroup"	"normalized.misassemblies.per.MB"	"normalized.mismatches.per.100.kbp"	"cov"	"genomeFractionNormalized"
"Gold_Standard_4"	84	61	59	51	37	6277722	6228296	6213143	6073338	5548991	85	496628	6278599	6278004	66.49	66.49	155138	155138	95953	95953	13	13	26	26	0	0	0	0	"0 + 0 part"	0	99.996	1	0	0	0	"11667 + 94 part"	5805	5808	5310	808	77	496628	155138	155138	95953	95953	13	13	26	26	"1030752"	NA	6278004	4133072	46.858589	NA	"uniq"	5770	"1"	0	0	98.7512591581656	0.0117637647247059
"Gold_Standard_4"	87	66	63	46	27	4614937	4566171	4540621	4283987	3549974	87	349579	4614937	4620491	62.13	62.12	126448	126448	63308	63308	13	13	26	26	0	0	0	0	"0 + 0 part"	0	99.88	1	0	0	0.02	"9650 + 205 part"	4371	4375	3957	643	69	349579	126448	126448	63308	63308	13	13	26	26	"1030755"	NA	4620491	336727	5.194538	NA	"uniq"	4330	"1"	0	0	10.9315330340434	0.0114666832183908
"Gold_Standard_4"	68	51	42	32	27	4896786	4862357	4804484	4619336	4424141	69	417407	4897781	4900391	41.31	41.31	188412	188412	100178	100178	9	9	17	17	0	0	0	0	"0 + 0 part"	0	99.947	1	0	0	0	"6235 + 112 part"	4324	4330	3862	702	109	417407	188412	188412	100178	100178	9	9	17	17	"1030836"	NA	4900391	579419	8.419112	NA	"uniq"	4395	"1"	0	0	17.7359010740163	0.0144773953753623
"Gold_Standard_4"	22	15	15	14	12	3288233	3271617	3271617	3255268	3183175	22	557272	3288233	3289345	68.33	68.33	338776	338776	197176	197176	4	4	7	7	0	0	0	0	"0 + 0 part"	0	99.966	1	0	0	0	"6211 + 53 part"	3070	3070	2816	476	50	557272	338776	338776	197176	197176	4	4	7	7	"1030878"	NA	3289345	117951	2.550971	NA	"uniq"	3035	"1"	0	0	5.37877601771781	0.0454236416181818
"Gold_Standard_4"	94	75	66	52	40	7279109	7237242	7178825	6932383	6474491	94	1022874	7279109	7281938	53.04	53.04	203178	203178	90759	90759	11	11	25	25	0	0	0	0	"0 + 0 part"	0	99.961	1	0	0	0	"8377 + 79 part"	6183	6187	5448	952	135	1022874	203178	203178	90759	90759	11	11	25	25	"1035900"	NA	7281938	4418897	43.214399	NA	"uniq"	6459	"1"	0	0	91.024470408839	0.0106300016180851
"Gold_Standard_4"	60	53	45	25	13	2197372	2176431	2113087	1778958	1374069	60	238049	2197372	2199979	30.96	30.96	74622	74622	31033	31033	9	9	21	21	0	0	0	0	"0 + 0 part"	0	99.881	1	0	0	0	"1927 + 48 part"	1984	1987	1758	331	44	238049	74622	74622	31033	31033	9	9	21	21	"1035930"	NA	2199979	220904	7.163	NA	"strain"	1985	"1"	0	0	15.061780135174	0.0166270236016667
"Gold_Standard_4"	56	38	34	27	25	4674737	4623025	4595037	4480769	4406048	56	479475	4674737	4677460	40.62	40.62	210887	210887	116923	116923	7	7	15	15	0	0	0	0	"0 + 0 part"	0	99.942	1	0	0	0	"5959 + 101 part"	4138	4138	3722	665	100	479475	210887	210887	116923	116923	7	7	15	15	"1036539"	NA	4677460	349514	5.31969	NA	"uniq"	4226	"1"	0	0	11.208455016184	0.0178364345785714
"Gold_Standard_4"	24	19	18	17	13	2655707	2647560	2642513	2631198	2494240	25	646599	2656463	2659575	46.82	46.82	312667	312667	115566	115566	3	3	7	7	0	0	0	0	"0 + 0 part"	0	99.883	1	0	0	0	"5898 + 34 part"	2442	2447	2184	366	44	646599	312667	312667	115566	115566	3	3	7	7	"1036554"	NA	2659575	8168678	218.879025	NA	"uniq"	2448	"1"	0	0	460.713347057331	0.039906454756
"Gold_Standard_4"	69	63	57	44	24	3164546	3152060	3116636	2858948	2140253	73	226233	3168153	3184472	61.58	61.56	63562	63562	40708	40708	15	15	30	30	0	0	0	0	"0 + 0 part"	0	99.488	1	0	0	0	"6884 + 182 part"	2759	2763	2524	456	50	226233	63562	63562	40708	40708	15	15	30	30	"1036608"	NA	3184472	122192	2.745223	NA	"uniq"	2747	"1"	0	0	5.7556794344557	0.0135587152657534
"Gold_Standard_4"	149	105	77	30	11	2630685	2525222	2328695	1545399	860427	149	104551	2630685	2638923	27.72	27.72	31862	31862	16359	16359	23	23	52	52	0	0	0	0	"0 + 0 part"	0	99.688	1	0	0	0	"5751 + 230 part"	2669	2689	2182	327	28	104551	31862	31862	16359	16359	23	23	52	52	"1036641"	NA	2638923	191369	5.189716	NA	"uniq"	2719	"1"	0	0	10.8776762338272	0.00666959553288591
"Gold_Standard_4"	649	282	113	8	0	3941849	2936792	1746423	240829	0	717	40422	3990971	4060624	30.58	30.58	8912	8756	4814	4639	140	144	294	305	0	0	0	0	"0 + 0 part"	0	98.249	1	0	0	0	"6980 + 1391 part"	4121	4125	3335	384	32	40422	8912	8756	4814	4639	140	144	294	305	"1036707"	NA	4060624	72323	1.273198	NA	"uniq"	3865	"1"	0	0	2.6716214059711	0.00134628535578801
"Gold_Standard_4"	289	149	62	3	0	1981686	1597010	956713	84684	0	322	29894	2007243	2032530	33.35	33.36	9737	9603	5834	5774	67	69	133	136	0	0	0	0	"0 + 0 part"	0	98.756	1	0	0	0	"3050 + 565 part"	2246	2247	1886	210	10	29894	9737	9603	5834	5774	67	69	133	136	"1036728"	NA	2032530	37251	1.305463	NA	"uniq"	2087	"1"	0	0	2.749110714233	0.0030288035826087
"Gold_Standard_4"	1354	269	36	0	0	4804058	2036245	447731	0	0	1639	19787	5018558	5216281	34.93	34.94	4365	4185	2571	2396	371	395	746	806	0	0	0	0	"0 + 0 part"	0	96.175	1	0	0	0	"7099 + 3105 part"	5416	5418	4517	512	45	19787	4365	4185	2571	2396	371	395	746	806	"1036743"	NA	5216281	73921	1.008581	NA	"uniq"	4588	"1"	0	0	2.12568111265478	0.000564345980780964
"Gold_Standard_4"	108	84	80	63	43	6463242	6413083	6383766	6102580	5387870	108	343251	6463242	6467702	54.95	54.95	121401	121401	71556	71556	17	17	34	34	0	0	0	0	"0 + 0 part"	0	99.931	1	0	0	0	"7194 + 130 part"	5382	5388	4816	1002	139	343251	121401	121401	71556	71556	17	17	34	34	"1036755"	NA	6467702	1342188	14.78588	NA	"uniq"	5273	"1"	0	0	31.1282430761343	0.00924648588981481
"Gold_Standard_4"	70	43	40	25	20	2421939	2359324	2338841	2097631	1897720	72	179875	2423571	2431652	51.45	51.45	89904	89904	55823	55823	11	11	19	19	0	0	0	0	"0 + 0 part"	0	99.668	1	0	0	0	"3930 + 157 part"	2114	2120	1798	308	34	179875	89904	89904	55823	55823	11	11	19	19	"1048783"	NA	2431652	107568	3.161138	NA	"uniq"	2324	"1"	0	0	6.63548895976891	0.0137968197555556
"Gold_Standard_4"	1290	56	2	0	0	2992363	348448	21019	0	0	1915	10755	3451801	3845825	35.23	35.25	2345	2085	1411	1095	475	564	951	1187	0	0	0	0	"0 + 0 part"	0	89.755	1	0	0	0	"3386 + 3209 part"	4413	4413	3516	288	15	10755	2345	2085	1411	1095	475	564	951	1187	"1048993"	NA	3845825	41609	0.770489	NA	"uniq"	3462	"1"	0	0	1.62288975707423	0.000420676763707572
