Assembly	X..contigs.....1000.bp.	X..contigs.....5000.bp.	X..contigs.....10000.bp.	X..contigs.....25000.bp.	X..contigs.....50000.bp.	Total.length.....1000.bp.	Total.length.....5000.bp.	Total.length.....10000.bp.	Total.length.....25000.bp.	Total.length.....50000.bp.	X..contigs	Largest.contig	Total.length	Reference.length	GC....	Reference.GC....	N50	NG50	N75	NG75	L50	LG50	L75	LG75	X..misassemblies	X..misassembled.contigs	Misassembled.contigs.length	X..local.misassemblies	X..unaligned.contigs	Unaligned.length	Genome.fraction....	Duplication.ratio	X..N.s.per.100.kbp	X..mismatches.per.100.kbp	X..indels.per.100.kbp	X..predicted.genes..unique.	X..predicted.genes.....0.bp.	X..predicted.genes.....300.bp.	X..predicted.genes.....1500.bp.	X..predicted.genes.....3000.bp.	Largest.alignment	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75	gid	refLength	refMapping	group	assemblerGroup	X..genes	cov
Gold Standard	83	61	59	51	37	6276478	6228296	6213143	6073338	5548991	83	496628	6276478	6278004	66,5	66,49	155138	155138	95953	95953	13	13	26	26	0	0	0	0	0 + 0 part	0	99,976	1	0	0	0	5802	5804	5308	808	77	496628	155138	155138	95953	95953	13	13	26	26	1030752	6278004	4133072	uniq	1	NA	98,75125916
Gold Standard	87	66	63	46	27	4614937	4566171	4540621	4283987	3549974	87	349579	4614937	4620491	62,13	62,12	126448	126448	63308	63308	13	13	26	26	0	0	0	0	0 + 0 part	0	99,88	1	0	0	0,02	4371	4375	3957	643	69	349579	126448	126448	63308	63308	13	13	26	26	1030755	4620491	336727	uniq	1	NA	10,93153303
Gold Standard	68	51	42	32	27	4896786	4862357	4804484	4619336	4424141	69	417407	4897781	4900391	41,31	41,31	188412	188412	100178	100178	9	9	17	17	0	0	0	0	0 + 0 part	0	99,947	1	0	0	0	4324	4330	3862	702	109	417407	188412	188412	100178	100178	9	9	17	17	1030836	4900391	579419	uniq	1	NA	17,73590107
Gold Standard	22	15	15	14	12	3288233	3271617	3271617	3255268	3183175	22	557272	3288233	3289345	68,33	68,33	338776	338776	197176	197176	4	4	7	7	0	0	0	0	0 + 0 part	0	99,966	1	0	0	0	3070	3070	2816	476	50	557272	338776	338776	197176	197176	4	4	7	7	1030878	3289345	117951	uniq	1	NA	5,378776018
Gold Standard	94	75	66	52	40	7279109	7237242	7178825	6932383	6474491	94	1022874	7279109	7281938	53,04	53,04	203178	203178	90759	90759	11	11	25	25	0	0	0	0	0 + 0 part	0	99,961	1	0	0	0	6183	6187	5448	952	135	1022874	203178	203178	90759	90759	11	11	25	25	1035900	7281938	4418897	uniq	1	NA	91,02447041
Gold Standard	60	53	45	25	13	2197372	2176431	2113087	1778958	1374069	60	238049	2197372	2199979	30,96	30,96	74622	74622	31033	31033	9	9	21	21	0	0	0	0	0 + 0 part	0	99,881	1	0	0	0	1984	1987	1758	331	44	238049	74622	74622	31033	31033	9	9	21	21	1035930	2199979	220904	strain	1	NA	15,06178014
Gold Standard	56	38	34	27	25	4674737	4623025	4595037	4480769	4406048	56	479475	4674737	4677460	40,62	40,62	210887	210887	116923	116923	7	7	15	15	0	0	0	0	0 + 0 part	0	99,942	1	0	0	0	4138	4138	3722	665	100	479475	210887	210887	116923	116923	7	7	15	15	1036539	4677460	349514	uniq	1	NA	11,20845502
Gold Standard	24	19	18	17	13	2655707	2647560	2642513	2631198	2494240	25	646599	2656463	2659575	46,82	46,82	312667	312667	115566	115566	3	3	7	7	0	0	0	0	0 + 0 part	0	99,883	1	0	0	0	2442	2447	2184	366	44	646599	312667	312667	115566	115566	3	3	7	7	1036554	2659575	8168678	uniq	1	NA	460,7133471
Gold Standard	69	63	57	44	24	3164546	3152060	3116636	2858948	2140253	73	226233	3168153	3184472	61,58	61,56	63562	63562	40708	40708	15	15	30	30	0	0	0	0	0 + 0 part	0	99,488	1	0	0	0	2759	2763	2524	456	50	226233	63562	63562	40708	40708	15	15	30	30	1036608	3184472	122192	uniq	1	NA	5,755679434
Gold Standard	149	105	77	30	11	2630685	2525222	2328695	1545399	860427	149	104551	2630685	2638923	27,72	27,72	31862	31862	16359	16359	23	23	52	52	0	0	0	0	0 + 0 part	0	99,688	1	0	0	0	2669	2689	2182	327	28	104551	31862	31862	16359	16359	23	23	52	52	1036641	2638923	191369	uniq	1	NA	10,87767623
Gold Standard	649	282	113	8	0	3941849	2936792	1746423	240829	0	717	40422	3990971	4060624	30,58	30,58	8912	8756	4814	4639	140	144	294	305	0	0	0	0	0 + 0 part	0	98,249	1	0	0	0	4121	4125	3335	384	32	40422	8912	8756	4814	4639	140	144	294	305	1036707	4060624	72323	uniq	1	NA	2,671621406
Gold Standard	289	149	62	3	0	1981686	1597010	956713	84684	0	322	29894	2007243	2032530	33,35	33,36	9737	9603	5834	5774	67	69	133	136	0	0	0	0	0 + 0 part	0	98,756	1	0	0	0	2246	2247	1886	210	10	29894	9737	9603	5834	5774	67	69	133	136	1036728	2032530	37251	uniq	1	NA	2,749110714
Gold Standard	1355	269	36	0	0	4805302	2036245	447731	0	0	1641	19787	5020679	5216281	34,93	34,94	4362	4185	2566	2396	372	395	747	806	0	0	0	0	0 + 0 part	0	96,195	1,001	0	0	0	5419	5422	4519	512	45	19787	4362	4185	2566	2396	372	395	747	806	1036743	5216281	73921	uniq	1	NA	2,125681113
Gold Standard	108	84	80	63	43	6463242	6413083	6383766	6102580	5387870	108	343251	6463242	6467702	54,95	54,95	121401	121401	71556	71556	17	17	34	34	0	0	0	0	0 + 0 part	0	99,931	1	0	0	0	5382	5388	4816	1002	139	343251	121401	121401	71556	71556	17	17	34	34	1036755	6467702	1342188	uniq	1	NA	31,12824308
Gold Standard	70	43	40	25	20	2421939	2359324	2338841	2097631	1897720	72	179875	2423571	2431652	51,45	51,45	89904	89904	55823	55823	11	11	19	19	0	0	0	0	0 + 0 part	0	99,668	1	0	0	0	2114	2120	1798	308	34	179875	89904	89904	55823	55823	11	11	19	19	1048783	2431652	107568	uniq	1	NA	6,63548896
Gold Standard	1290	56	2	0	0	2992363	348448	21019	0	0	1915	10755	3451801	3845825	35,23	35,25	2345	2085	1411	1095	475	564	951	1187	0	0	0	0	0 + 0 part	0	89,755	1	0	0	0	4413	4413	3516	288	15	10755	2345	2085	1411	1095	475	564	951	1187	1048993	3845825	41609	uniq	1	NA	1,622889757
Gold Standard	23	20	17	16	14	4107833	4102598	4082988	4065303	3995324	23	1173000	4107833	4107985	65,68	65,68	338314	338314	168710	168710	3	3	7	7	0	0	0	0	0 + 0 part	0	99,996	1	0	0	0	4076	4078	3664	511	38	1173000	338314	338314	168710	168710	3	3	7	7	1049005	4107985	1346963	uniq	1	NA	49,18334658
Gold Standard	34	23	19	17	17	3262395	3238250	3213455	3190796	3190796	34	436114	3262395	3268305	35,77	35,77	230814	230814	130012	130012	5	5	9	9	0	0	0	0	0 + 0 part	0	99,819	1	0	0	0	2822	2827	2624	491	77	436114	230814	230814	130012	130012	5	5	9	9	1049056	3268305	1639674	strain	1	NA	75,25341117
