"Assembly"	"X..contigs.....1000.bp."	"X..contigs.....5000.bp."	"X..contigs.....10000.bp."	"X..contigs.....25000.bp."	"X..contigs.....50000.bp."	"Total.length.....1000.bp."	"Total.length.....5000.bp."	"Total.length.....10000.bp."	"Total.length.....25000.bp."	"Total.length.....50000.bp."	"X..contigs"	"Largest.contig"	"Total.length"	"Reference.length"	"GC...."	"Reference.GC...."	"N50"	"NG50"	"N75"	"NG75"	"L50"	"LG50"	"L75"	"LG75"	"X..misassemblies"	"X..misassembled.contigs"	"Misassembled.contigs.length"	"X..local.misassemblies"	"X..unaligned.contigs"	"Unaligned.length"	"Genome.fraction...."	"Duplication.ratio"	"X..N.s.per.100.kbp"	"X..mismatches.per.100.kbp"	"X..indels.per.100.kbp"	"X..predicted.genes..unique."	"X..predicted.genes.....0.bp."	"X..predicted.genes.....300.bp."	"X..predicted.genes.....1500.bp."	"X..predicted.genes.....3000.bp."	"Largest.alignment"	"NA50"	"NGA50"	"NA75"	"NGA75"	"LA50"	"LGA50"	"LA75"	"LGA75"	"gid"	"refLength"	"refMapping"	"group"	"assemblerGroup"	"assemblerRealName"	"cov"
"Gold_Standard_0"	36	28	26	25	23	6680272	6666922	6652452	6638298	6552672	36	763178	6680272	6680272	67.17	67.17	411818	"411818"	203040	"203040"	6	"6"	12	"12"	0	0	0	0	"0 + 0 part"	0	99.999	1	5.37	0	0	"6427"	"6428"	"5874"	"835"	"69"	763086	"411818"	411818	"203040"	"203040"	"6"	"6"	"12"	"12"	"1021_AP"	6680272	307430	"uniq"	"1"	"Gold Standard"	6.9030871796837
"Gold_Standard_0"	34	26	25	21	18	5676132	5663352	5657406	5597573	5499055	34	978820	5676132	5681617	64.73	64.71	518398	"518398"	214329	"214329"	4	"4"	9	"9"	0	0	0	0	"0 + 0 part"	0	99.903	1	3.33	0	0	"5146"	"5147"	"4807"	"737"	"71"	978820	"518398"	518398	"214329"	"214329"	"4"	"4"	"9"	"9"	"1021_AQ"	5681617	989142	"strain"	"1"	"Gold Standard"	26.1142734541945
"Gold_Standard_0"	18	16	15	14	13	5575767	5572042	5566556	5549850	5504933	18	999993	5575767	5575767	64.8	64.8	566429	"566429"	401804	"401804"	4	"4"	6	"6"	0	0	0	0	"0 + 0 part"	0	99.995	1	6.04	0	0	"5011"	"5012"	"4706"	"727"	"71"	999993	"566429"	566429	"401804"	"401804"	"4"	"4"	"6"	"6"	"1021_AS"	5575767	3824862	"strain"	"1"	"Gold Standard"	102.896928799213
"Gold_Standard_0"	28	23	21	21	19	9307858	9300359	9288296	9288296	9229593	28	1496668	9307858	9222264	71.5	71.49	951054	"951054"	468009	"468009"	4	"4"	8	"8"	0	0	0	0	"0 + 0 part"	0	99.978	1.01	6.91	0	0	"8080"	"8157"	"7385"	"1176"	"161"	1494798	"951054"	951054	"468009"	"468009"	"4"	"4"	"8"	"8"	"1021_C"	9222264	3870011	"strain"	"1"	"Gold Standard"	62.9456768966926
"Gold_Standard_0"	8	6	5	5	5	4392972	4387647	4380549	4380549	4380549	8	2637663	4392972	4398457	72.54	72.5	2637663	"2637663"	527676	"527676"	1	"1"	3	"3"	0	0	0	0	"0 + 0 part"	0	99.875	1	2.25	0	0	"4063"	"4063"	"3784"	"624"	"75"	2637663	"2637663"	2637663	"527676"	"527676"	"1"	"1"	"3"	"3"	"1021_P"	4398457	1065606	"strain"	"1"	"Gold Standard"	36.3402211275454
"Gold_Standard_0"	25	23	21	17	16	2161335	2156475	2138612	2054355	2026213	25	428663	2161335	2161335	30.36	30.36	143239	"143239"	72937	"72937"	5	"5"	10	"10"	0	0	0	0	"0 + 0 part"	0	99.885	1.001	115.44	0	0	"2130"	"2134"	"1841"	"241"	"19"	428663	"143239"	143239	"72937"	"72937"	"5"	"5"	"10"	"10"	"1030716"	2161335	15496	"uniq"	"1"	"Gold Standard"	1.07544642547315
"Gold_Standard_0"	82	62	57	34	12	2576980	2519138	2484348	2084744	1280325	82	180082	2576980	2576980	49.1	49.1	48588	"48588"	32140	"32140"	13	"13"	29	"29"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"2612"	"2618"	"2295"	"329"	"32"	180082	"48588"	48588	"32140"	"32140"	"13"	"13"	"29"	"29"	"1030728"	2576980	714970	"strain"	"1"	"Gold Standard"	41.6167374213226
"Gold_Standard_0"	56	34	27	22	19	3663781	3616238	3562784	3477245	3365272	56	327116	3663781	3663781	43.72	43.72	222082	"222082"	135406	"135406"	7	"7"	12	"12"	0	0	0	0	"0 + 0 part"	0	99.955	1	44.98	0	0	"3271"	"3281"	"2963"	"526"	"45"	327116	"222082"	222082	"135406"	"135406"	"7"	"7"	"12"	"12"	"1030737"	3663781	238969	"uniq"	"1"	"Gold Standard"	9.78370432075498
"Gold_Standard_0"	26	21	18	15	12	3261014	3248115	3228416	3189774	3092428	26	631413	3261014	3261014	52.15	52.15	321161	"321161"	195413	"195413"	4	"4"	7	"7"	0	0	0	0	"0 + 0 part"	0	99.892	1.001	110.76	0	0	"2887"	"2891"	"2586"	"463"	"44"	631413	"321161"	321161	"195413"	"195413"	"4"	"4"	"7"	"7"	"1030740"	3261014	5775453	"uniq"	"1"	"Gold Standard"	265.659071074212
"Gold_Standard_0"	55	44	38	26	18	3190397	3165734	3124574	2910356	2629561	55	448771	3190397	3190397	41.71	41.71	143900	"143900"	74510	"74510"	7	"7"	15	"15"	0	0	0	0	"0 + 0 part"	0	99.993	1	6.74	0	0	"3230"	"3265"	"2831"	"362"	"21"	448771	"143900"	143900	"74510"	"74510"	"7"	"7"	"15"	"15"	"1030776"	3190397	20483	"uniq"	"1"	"Gold Standard"	0.963030619700307
